"InsuranProviderID","Insurance Provider"
"1058025","Aetna"
"1059499","Medicare"
"1060973","Medicare"
"1062447","Aetna"
"1063921","Medicare"
"1065395","Medicare"
"1066869","Aetna"
"1068343","Medicare"
"1069817","Cigna"
"1071291","UnitedHealthcare"
"1072765","Medicare"
"1074239","UnitedHealthcare"
"1075713","Cigna"
"1077187","Aetna"
"1078661","Cigna"
"1080135","Medicare"
"1081609","Cigna"
"1083083","Aetna"
"1084557","Aetna"
"1086031","Medicare"
"1087505","UnitedHealthcare"
"1088979","Cigna"
"1090453","Cigna"
"1091927","Cigna"
"1093401","Aetna"
"1094875","Blue Cross"
"1096349","UnitedHealthcare"
"1097823","Blue Cross"
"1099297","Medicare"
"1100771","Cigna"
"1102245","UnitedHealthcare"
"1103719","Cigna"
"1105193","Aetna"
"1106667","Cigna"
"1108141","Blue Cross"
"1109615","Cigna"
"1111089","Medicare"
"1112563","Cigna"
"1114037","Blue Cross"
"1115511","UnitedHealthcare"
"1116985","Blue Cross"
"1118459","Aetna"
"1119933","Blue Cross"
"1121407","UnitedHealthcare"
"1122881","Medicare"
"1124355","Blue Cross"
"1125829","Blue Cross"
"1127303","UnitedHealthcare"
"1128777","UnitedHealthcare"
"1130251","Aetna"
"1131725","Blue Cross"
"1133199","Blue Cross"
"1134673","Aetna"
"1136147","Blue Cross"
"1137621","Cigna"
"1139095","Cigna"
"1140569","Blue Cross"
"1142043","Medicare"
"1143517","Aetna"
"1144991","Medicare"
"1146465","Blue Cross"
"1147939","Cigna"
"1149413","Aetna"
"1150887","Medicare"
"1152361","Aetna"
"1153835","Cigna"
"1155309","UnitedHealthcare"
"1156783","UnitedHealthcare"
"1158257","UnitedHealthcare"
"1159731","Blue Cross"
"1161205","Aetna"
"1162679","Aetna"
"1164153","Cigna"
"1165627","Medicare"
"1167101","Blue Cross"
"1168575","Medicare"
"1170049","Blue Cross"
"1171523","UnitedHealthcare"
"1172997","Aetna"
"1174471","Medicare"
"1175945","Medicare"
"1177419","UnitedHealthcare"
"1178893","Cigna"
"1180367","Cigna"
"1181841","Aetna"
"1183315","Aetna"
"1184789","UnitedHealthcare"
"1186263","Aetna"
"1187737","Blue Cross"
"1189211","Aetna"
"1190685","UnitedHealthcare"
"1192159","Blue Cross"
"1193633","Aetna"
"1195107","Aetna"
"1196581","UnitedHealthcare"
"1198055","Aetna"
"1199529","UnitedHealthcare"
"1201003","Cigna"
"1202477","Blue Cross"
"1203951","UnitedHealthcare"
"1205425","Blue Cross"
"1206899","Blue Cross"
"1208373","Cigna"
"1209847","Blue Cross"
"1211321","Cigna"
"1212795","Aetna"
"1214269","Blue Cross"
"1215743","Medicare"
"1217217","Blue Cross"
"1218691","Blue Cross"
"1220165","Blue Cross"
"1221639","Medicare"
"1223113","Cigna"
"1224587","Aetna"
"1226061","UnitedHealthcare"
"1227535","Cigna"
"1229009","Aetna"
"1230483","Cigna"
"1231957","Blue Cross"
"1233431","Cigna"
"1234905","UnitedHealthcare"
"1236379","UnitedHealthcare"
"1237853","UnitedHealthcare"
"1239327","Medicare"
"1240801","Blue Cross"
"1242275","UnitedHealthcare"
"1243749","UnitedHealthcare"
"1245223","UnitedHealthcare"
"1246697","UnitedHealthcare"
"1248171","Aetna"
"1249645","Blue Cross"
"1251119","Blue Cross"
"1252593","Blue Cross"
"1254067","Blue Cross"
"1255541","Aetna"
"1257015","Aetna"
"1258489","Aetna"
"1259963","UnitedHealthcare"
"1261437","UnitedHealthcare"
"1262911","UnitedHealthcare"
"1264385","Cigna"
"1265859","Blue Cross"
"1267333","UnitedHealthcare"
"1268807","Cigna"
"1270281","Blue Cross"
"1271755","UnitedHealthcare"
"1273229","Cigna"
"1274703","Medicare"
"1276177","Cigna"
"1277651","Medicare"
"1279125","Aetna"
"1280599","Medicare"
"1282073","Cigna"
"1283547","Blue Cross"
"1285021","Blue Cross"
"1286495","Cigna"
"1287969","Cigna"
"1289443","Blue Cross"
"1290917","Medicare"
"1292391","UnitedHealthcare"
"1293865","Medicare"
"1295339","Aetna"
"1296813","Aetna"
"1298287","UnitedHealthcare"
"1299761","Cigna"
"1301235","UnitedHealthcare"
"1302709","Medicare"
"1304183","UnitedHealthcare"
"1305657","Medicare"
"1307131","Aetna"
"1308605","Cigna"
"1310079","Aetna"
"1311553","Blue Cross"
"1313027","Blue Cross"
"1314501","Medicare"
"1315975","Medicare"
"1317449","Cigna"
"1318923","Medicare"
"1320397","Aetna"
"1321871","Blue Cross"
"1323345","Blue Cross"
"1324819","Medicare"
"1326293","Blue Cross"
"1327767","Medicare"
"1329241","Medicare"
"1330715","Aetna"
"1332189","UnitedHealthcare"
"1333663","Medicare"
"1335137","Aetna"
"1336611","Cigna"
"1338085","Blue Cross"
"1339559","Aetna"
"1341033","Cigna"
"1342507","Cigna"
"1343981","Medicare"
"1345455","Cigna"
"1346929","Aetna"
"1348403","Cigna"
"1349877","UnitedHealthcare"
"1351351","Aetna"
"1352825","UnitedHealthcare"
"1354299","Cigna"
"1355773","Blue Cross"
"1357247","Medicare"
"1358721","Cigna"
"1360195","Cigna"
"1361669","Aetna"
"1363143","Blue Cross"
"1364617","UnitedHealthcare"
"1366091","Cigna"
"1367565","Cigna"
"1369039","Medicare"
"1370513","Medicare"
"1371987","Aetna"
"1373461","Aetna"
"1374935","Cigna"
"1376409","Cigna"
"1377883","UnitedHealthcare"
"1379357","Cigna"
"1380831","UnitedHealthcare"
"1382305","Cigna"
"1383779","Medicare"
"1385253","UnitedHealthcare"
"1386727","UnitedHealthcare"
"1388201","UnitedHealthcare"
"1389675","Medicare"
"1391149","Aetna"
"1392623","Blue Cross"
"1394097","Medicare"
"1395571","Aetna"
"1397045","UnitedHealthcare"
"1398519","Medicare"
"1399993","Cigna"
"1401467","UnitedHealthcare"
"1402941","Blue Cross"
"1404415","Cigna"
"1405889","UnitedHealthcare"
"1407363","Blue Cross"
"1408837","UnitedHealthcare"
"1410311","Medicare"
"1411785","Cigna"
"1413259","Aetna"
"1414733","Blue Cross"
"1416207","Blue Cross"
"1417681","Aetna"
"1419155","Cigna"
"1420629","Aetna"
"1422103","Cigna"
"1423577","UnitedHealthcare"
"1425051","Blue Cross"
"1426525","UnitedHealthcare"
"1427999","Blue Cross"
"1429473","Aetna"
"1430947","Medicare"
"1432421","UnitedHealthcare"
"1433895","Blue Cross"
"1435369","UnitedHealthcare"
"1436843","Blue Cross"
"1438317","UnitedHealthcare"
"1439791","Cigna"
"1441265","Aetna"
"1442739","Aetna"
"1444213","Blue Cross"
"1445687","Blue Cross"
"1447161","UnitedHealthcare"
"1448635","Medicare"
"1450109","Blue Cross"
"1451583","Medicare"
"1453057","UnitedHealthcare"
"1454531","UnitedHealthcare"
"1456005","Aetna"
"1457479","Cigna"
"1458953","Cigna"
"1460427","Blue Cross"
"1461901","Blue Cross"
"1463375","Aetna"
"1464849","Blue Cross"
"1466323","Aetna"
"1467797","Cigna"
"1469271","Medicare"
"1470745","Medicare"
"1472219","Blue Cross"
"1473693","Medicare"
"1475167","UnitedHealthcare"
"1476641","Medicare"
"1478115","Medicare"
"1479589","Medicare"
"1481063","Blue Cross"
"1482537","Cigna"
"1484011","Medicare"
"1485485","Medicare"
"1486959","UnitedHealthcare"
"1488433","Medicare"
"1489907","Medicare"
"1491381","Blue Cross"
"1492855","Aetna"
"1494329","Aetna"
"1495803","UnitedHealthcare"
"1497277","Blue Cross"
"1498751","Blue Cross"
"1500225","UnitedHealthcare"
"1501699","Aetna"
"1503173","Blue Cross"
"1504647","Blue Cross"
"1506121","Medicare"
"1507595","Cigna"
"1509069","Cigna"
"1510543","Medicare"
"1512017","Aetna"
"1513491","UnitedHealthcare"
"1514965","Blue Cross"
"1516439","Aetna"
"1517913","UnitedHealthcare"
"1519387","Aetna"
"1520861","Cigna"
"1522335","Blue Cross"
"1523809","UnitedHealthcare"
"1525283","UnitedHealthcare"
"1526757","Blue Cross"
"1528231","Medicare"
"1529705","Aetna"
"1531179","Cigna"
"1532653","UnitedHealthcare"
"1534127","Aetna"
"1535601","Aetna"
"1537075","Blue Cross"
"1538549","UnitedHealthcare"
"1540023","Cigna"
"1541497","UnitedHealthcare"
"1542971","Cigna"
"1544445","Blue Cross"
"1545919","Aetna"
"1547393","UnitedHealthcare"
"1548867","Cigna"
"1550341","Medicare"
"1551815","Medicare"
"1553289","UnitedHealthcare"
"1554763","Aetna"
"1556237","Aetna"
"1557711","Blue Cross"
"1559185","Medicare"
"1560659","UnitedHealthcare"
"1562133","Blue Cross"
"1563607","Cigna"
"1565081","UnitedHealthcare"
"1566555","Medicare"
"1568029","Cigna"
"1569503","Medicare"
"1570977","Aetna"
"1572451","Medicare"
"1573925","Aetna"
"1575399","Blue Cross"
"1576873","Aetna"
"1578347","Aetna"
"1579821","Aetna"
"1581295","UnitedHealthcare"
"1582769","Aetna"
"1584243","Aetna"
"1585717","Cigna"
"1587191","UnitedHealthcare"
"1588665","Cigna"
"1590139","Cigna"
"1591613","Blue Cross"
"1593087","Aetna"
"1594561","Blue Cross"
"1596035","Cigna"
"1597509","Cigna"
"1598983","Aetna"
"1600457","Aetna"
"1601931","Aetna"
"1603405","Medicare"
"1604879","UnitedHealthcare"
"1606353","Aetna"
"1607827","Medicare"
"1609301","Aetna"
"1610775","Blue Cross"
"1612249","Blue Cross"
"1613723","Medicare"
"1615197","Blue Cross"
"1616671","Aetna"
"1618145","Medicare"
"1619619","Aetna"
"1621093","Blue Cross"
"1622567","Medicare"
"1624041","Aetna"
"1625515","UnitedHealthcare"
"1626989","Aetna"
"1628463","Blue Cross"
"1629937","Cigna"
"1631411","UnitedHealthcare"
"1632885","UnitedHealthcare"
"1634359","Blue Cross"
"1635833","Aetna"
"1637307","Cigna"
"1638781","Blue Cross"
"1640255","Medicare"
"1641729","Medicare"
"1643203","Medicare"
"1644677","Blue Cross"
"1646151","Cigna"
"1647625","Cigna"
"1649099","UnitedHealthcare"
"1650573","Aetna"
"1652047","Cigna"
"1653521","Aetna"
"1654995","Cigna"
"1656469","Cigna"
"1657943","Aetna"
"1659417","Aetna"
"1660891","Cigna"
"1662365","Aetna"
"1663839","UnitedHealthcare"
"1665313","Aetna"
"1666787","Medicare"
"1668261","Cigna"
"1669735","Aetna"
"1671209","Aetna"
"1672683","Medicare"
"1674157","Aetna"
"1675631","Medicare"
"1677105","Medicare"
"1678579","UnitedHealthcare"
"1680053","Aetna"
"1681527","UnitedHealthcare"
"1683001","Aetna"
"1684475","Medicare"
"1685949","Medicare"
"1687423","Aetna"
"1688897","Cigna"
"1690371","Blue Cross"
"1691845","Cigna"
"1693319","Aetna"
"1694793","UnitedHealthcare"
"1696267","Blue Cross"
"1697741","Aetna"
"1699215","Blue Cross"
"1700689","UnitedHealthcare"
"1702163","Medicare"
"1703637","Cigna"
"1705111","Medicare"
"1706585","Medicare"
"1708059","UnitedHealthcare"
"1709533","Blue Cross"
"1711007","UnitedHealthcare"
"1712481","Cigna"
"1713955","Blue Cross"
"1715429","Aetna"
"1716903","UnitedHealthcare"
"1718377","Medicare"
"1719851","Medicare"
"1721325","Cigna"
"1722799","Medicare"
"1724273","Aetna"
"1725747","Aetna"
"1727221","Medicare"
"1728695","Medicare"
"1730169","Medicare"
"1731643","UnitedHealthcare"
"1733117","Cigna"
"1734591","UnitedHealthcare"
"1736065","Cigna"
"1737539","Aetna"
"1739013","UnitedHealthcare"
"1740487","Medicare"
"1741961","Aetna"
"1743435","Aetna"
"1744909","Cigna"
"1746383","Aetna"
"1747857","Cigna"
"1749331","Blue Cross"
"1750805","Cigna"
"1752279","UnitedHealthcare"
"1753753","Cigna"
"1755227","UnitedHealthcare"
"1756701","UnitedHealthcare"
"1758175","Blue Cross"
"1759649","Blue Cross"
"1761123","Aetna"
"1762597","UnitedHealthcare"
"1764071","Medicare"
"1765545","Medicare"
"1767019","Aetna"
"1768493","Medicare"
"1769967","Blue Cross"
"1771441","UnitedHealthcare"
"1772915","Aetna"
"1774389","Medicare"
"1775863","Aetna"
"1777337","Medicare"
"1778811","Medicare"
"1780285","Blue Cross"
"1781759","UnitedHealthcare"
"1783233","Blue Cross"
"1784707","Medicare"
"1786181","Blue Cross"
"1787655","UnitedHealthcare"
"1789129","Medicare"
"1790603","Medicare"
"1792077","Cigna"
"1793551","Cigna"
"1795025","Medicare"
"1796499","UnitedHealthcare"
"1797973","Blue Cross"
"1799447","Cigna"
"1800921","Blue Cross"
"1802395","Medicare"
"1803869","Aetna"
"1805343","Cigna"
"1806817","Aetna"
"1808291","Aetna"
"1809765","Aetna"
"1811239","UnitedHealthcare"
"1812713","Blue Cross"
"1814187","Blue Cross"
"1815661","Aetna"
"1817135","UnitedHealthcare"
"1818609","Medicare"
"1820083","Cigna"
"1821557","Aetna"
"1823031","UnitedHealthcare"
"1824505","UnitedHealthcare"
"1825979","Cigna"
"1827453","Medicare"
"1828927","Medicare"
"1830401","Cigna"
"1831875","Medicare"
"1833349","Cigna"
"1834823","Blue Cross"
"1836297","Cigna"
"1837771","UnitedHealthcare"
"1839245","Cigna"
"1840719","Cigna"
"1842193","Cigna"
"1843667","Aetna"
"1845141","Blue Cross"
"1846615","Medicare"
"1848089","Medicare"
"1849563","Cigna"
"1851037","Cigna"
"1852511","Aetna"
"1853985","Blue Cross"
"1855459","Medicare"
"1856933","Aetna"
"1858407","Medicare"
"1859881","Aetna"
"1861355","UnitedHealthcare"
"1862829","Cigna"
"1864303","Medicare"
"1865777","Aetna"
"1867251","Aetna"
"1868725","Cigna"
"1870199","Cigna"
"1871673","Medicare"
"1873147","Medicare"
"1874621","UnitedHealthcare"
"1876095","Blue Cross"
"1877569","Medicare"
"1879043","Medicare"
"1880517","Blue Cross"
"1881991","Aetna"
"1883465","UnitedHealthcare"
"1884939","UnitedHealthcare"
"1886413","Cigna"
"1887887","Blue Cross"
"1889361","Aetna"
"1890835","Cigna"
"1892309","Blue Cross"
"1893783","Cigna"
"1895257","UnitedHealthcare"
"1896731","Aetna"
"1898205","Aetna"
"1899679","Aetna"
"1901153","Blue Cross"
"1902627","Blue Cross"
"1904101","Cigna"
"1905575","Medicare"
"1907049","Cigna"
"1908523","Blue Cross"
"1909997","Cigna"
"1911471","Aetna"
"1912945","Aetna"
"1914419","Cigna"
"1915893","Cigna"
"1917367","Blue Cross"
"1918841","Cigna"
"1920315","Blue Cross"
"1921789","Aetna"
"1923263","Medicare"
"1924737","Blue Cross"
"1926211","Aetna"
"1927685","Blue Cross"
"1929159","Cigna"
"1930633","Blue Cross"
"1932107","Cigna"
"1933581","Medicare"
"1935055","Blue Cross"
"1936529","Aetna"
"1938003","Blue Cross"
"1939477","Cigna"
"1940951","Blue Cross"
"1942425","UnitedHealthcare"
"1943899","Blue Cross"
"1945373","Cigna"
"1946847","Aetna"
"1948321","Blue Cross"
"1949795","Medicare"
"1951269","Cigna"
"1952743","Medicare"
"1954217","Aetna"
"1955691","Aetna"
"1957165","Cigna"
"1958639","Medicare"
"1960113","Cigna"
"1961587","UnitedHealthcare"
"1963061","Medicare"
"1964535","UnitedHealthcare"
"1966009","Cigna"
"1967483","UnitedHealthcare"
"1968957","Blue Cross"
"1970431","Medicare"
"1971905","Cigna"
"1973379","Aetna"
"1974853","Blue Cross"
"1976327","Aetna"
"1977801","Aetna"
"1979275","Aetna"
"1980749","UnitedHealthcare"
"1982223","UnitedHealthcare"
"1983697","Blue Cross"
"1985171","Aetna"
"1986645","Medicare"
"1988119","Blue Cross"
"1989593","Medicare"
"1991067","Blue Cross"
"1992541","Cigna"
"1994015","Medicare"
"1995489","Cigna"
"1996963","Blue Cross"
"1998437","UnitedHealthcare"
"1999911","Medicare"
"2001385","UnitedHealthcare"
"2002859","Cigna"
"2004333","Cigna"
"2005807","UnitedHealthcare"
"2007281","Cigna"
"2008755","Cigna"
"2010229","UnitedHealthcare"
"2011703","Blue Cross"
"2013177","Aetna"
"2014651","Medicare"
"2016125","Aetna"
"2017599","Aetna"
"2019073","UnitedHealthcare"
"2020547","Cigna"
"2022021","UnitedHealthcare"
"2023495","Cigna"
"2024969","Cigna"
"2026443","Aetna"
"2027917","Aetna"
"2029391","Medicare"
"2030865","Aetna"
"2032339","UnitedHealthcare"
"2033813","Blue Cross"
"2035287","Cigna"
"2036761","Cigna"
"2038235","UnitedHealthcare"
"2039709","UnitedHealthcare"
"2041183","UnitedHealthcare"
"2042657","Blue Cross"
"2044131","Blue Cross"
"2045605","UnitedHealthcare"
"2047079","Medicare"
"2048553","Cigna"
"2050027","Aetna"
"2051501","Aetna"
"2052975","Blue Cross"
"2054449","Aetna"
"2055923","UnitedHealthcare"
"2057397","Blue Cross"
"2058871","Medicare"
"2060345","UnitedHealthcare"
"2061819","Aetna"
"2063293","Blue Cross"
"2064767","Blue Cross"
"2066241","Cigna"
"2067715","Blue Cross"
"2069189","Medicare"
"2070663","Aetna"
"2072137","Blue Cross"
"2073611","Cigna"
"2075085","Blue Cross"
"2076559","Aetna"
"2078033","UnitedHealthcare"
"2079507","Cigna"
"2080981","Cigna"
"2082455","Medicare"
"2083929","Aetna"
"2085403","Medicare"
"2086877","Aetna"
"2088351","Medicare"
"2089825","Blue Cross"
"2091299","Medicare"
"2092773","Aetna"
"2094247","UnitedHealthcare"
"2095721","Blue Cross"
"2097195","Aetna"
"2098669","Cigna"
"2100143","Medicare"
"2101617","Blue Cross"
"2103091","Medicare"
"2104565","Cigna"
"2106039","Aetna"
"2107513","Aetna"
"2108987","Aetna"
"2110461","Medicare"
"2111935","Medicare"
"2113409","Blue Cross"
"2114883","Blue Cross"
"2116357","Cigna"
"2117831","Blue Cross"
"2119305","Blue Cross"
"2120779","Cigna"
"2122253","Cigna"
"2123727","Medicare"
"2125201","Cigna"
"2126675","Aetna"
"2128149","Blue Cross"
"2129623","UnitedHealthcare"
"2131097","Aetna"
"2132571","Blue Cross"
"2134045","Blue Cross"
"2135519","Medicare"
"2136993","Medicare"
"2138467","UnitedHealthcare"
"2139941","Blue Cross"
"2141415","Medicare"
"2142889","Cigna"
"2144363","Blue Cross"
"2145837","UnitedHealthcare"
"2147311","Blue Cross"
"2148785","UnitedHealthcare"
"2150259","Aetna"
"2151733","Cigna"
"2153207","Medicare"
"2154681","Cigna"
"2156155","UnitedHealthcare"
"2157629","Cigna"
"2159103","Blue Cross"
"2160577","Blue Cross"
"2162051","UnitedHealthcare"
"2163525","Aetna"
"2164999","Medicare"
"2166473","Cigna"
"2167947","Aetna"
"2169421","Cigna"
"2170895","Medicare"
"2172369","UnitedHealthcare"
"2173843","Blue Cross"
"2175317","Aetna"
"2176791","Cigna"
"2178265","UnitedHealthcare"
"2179739","Aetna"
"2181213","Aetna"
"2182687","UnitedHealthcare"
"2184161","Cigna"
"2185635","Aetna"
"2187109","Cigna"
"2188583","UnitedHealthcare"
"2190057","Cigna"
"2191531","Aetna"
"2193005","Medicare"
"2194479","Blue Cross"
"2195953","Cigna"
"2197427","Aetna"
"2198901","UnitedHealthcare"
"2200375","Cigna"
"2201849","Blue Cross"
"2203323","Aetna"
"2204797","Medicare"
"2206271","Cigna"
"2207745","Medicare"
"2209219","Cigna"
"2210693","Medicare"
"2212167","Cigna"
"2213641","Medicare"
"2215115","Aetna"
"2216589","Aetna"
"2218063","Medicare"
"2219537","Blue Cross"
"2221011","Blue Cross"
"2222485","Blue Cross"
"2223959","Blue Cross"
"2225433","Cigna"
"2226907","UnitedHealthcare"
"2228381","Cigna"
"2229855","Cigna"
"2231329","Cigna"
"2232803","Blue Cross"
"2234277","Aetna"
"2235751","Medicare"
"2237225","Cigna"
"2238699","Blue Cross"
"2240173","Medicare"
"2241647","Medicare"
"2243121","UnitedHealthcare"
"2244595","Aetna"
"2246069","Aetna"
"2247543","Medicare"
"2249017","Blue Cross"
"2250491","Medicare"
"2251965","Medicare"
"2253439","Medicare"
"2254913","UnitedHealthcare"
"2256387","Medicare"
"2257861","UnitedHealthcare"
"2259335","Cigna"
"2260809","Blue Cross"
"2262283","Cigna"
"2263757","Medicare"
"2265231","Blue Cross"
"2266705","Aetna"
"2268179","Medicare"
"2269653","Medicare"
"2271127","Blue Cross"
"2272601","UnitedHealthcare"
"2274075","Medicare"
"2275549","Aetna"
"2277023","UnitedHealthcare"
"2278497","UnitedHealthcare"
"2279971","Medicare"
"2281445","Cigna"
"2282919","Cigna"
"2284393","Cigna"
"2285867","UnitedHealthcare"
"2287341","Medicare"
"2288815","Cigna"
"2290289","UnitedHealthcare"
"2291763","Medicare"
"2293237","Medicare"
"2294711","Blue Cross"
"2296185","Blue Cross"
"2297659","Blue Cross"
"2299133","UnitedHealthcare"
"2300607","Cigna"
"2302081","Cigna"
"2303555","Blue Cross"
"2305029","Medicare"
"2306503","Medicare"
"2307977","UnitedHealthcare"
"2309451","UnitedHealthcare"
"2310925","Cigna"
"2312399","Medicare"
"2313873","Medicare"
"2315347","UnitedHealthcare"
"2316821","UnitedHealthcare"
"2318295","Blue Cross"
"2319769","Aetna"
"2321243","Blue Cross"
"2322717","Blue Cross"
"2324191","Medicare"
"2325665","Medicare"
"2327139","UnitedHealthcare"
"2328613","UnitedHealthcare"
"2330087","Cigna"
"2331561","Cigna"
"2333035","Aetna"
"2334509","Medicare"
"2335983","Blue Cross"
"2337457","Medicare"
"2338931","Aetna"
"2340405","Blue Cross"
"2341879","Medicare"
"2343353","Medicare"
"2344827","Blue Cross"
"2346301","Aetna"
"2347775","Blue Cross"
"2349249","Aetna"
"2350723","Aetna"
"2352197","Cigna"
"2353671","Aetna"
"2355145","Cigna"
"2356619","Cigna"
"2358093","Cigna"
"2359567","UnitedHealthcare"
"2361041","Blue Cross"
"2362515","UnitedHealthcare"
"2363989","UnitedHealthcare"
"2365463","UnitedHealthcare"
"2366937","Aetna"
"2368411","Medicare"
"2369885","Blue Cross"
"2371359","UnitedHealthcare"
"2372833","Cigna"
"2374307","Aetna"
"2375781","Cigna"
"2377255","Cigna"
"2378729","UnitedHealthcare"
"2380203","Blue Cross"
"2381677","Medicare"
"2383151","Cigna"
"2384625","Aetna"
"2386099","Aetna"
"2387573","UnitedHealthcare"
"2389047","Medicare"
"2390521","Cigna"
"2391995","Blue Cross"
"2393469","Cigna"
"2394943","Cigna"
"2396417","Aetna"
"2397891","Blue Cross"
"2399365","Cigna"
"2400839","Blue Cross"
"2402313","UnitedHealthcare"
"2403787","UnitedHealthcare"
"2405261","Cigna"
"2406735","Cigna"
"2408209","UnitedHealthcare"
"2409683","UnitedHealthcare"
"2411157","UnitedHealthcare"
"2412631","Cigna"
"2414105","Cigna"
"2415579","UnitedHealthcare"
"2417053","Cigna"
"2418527","Blue Cross"
"2420001","Aetna"
"2421475","Medicare"
"2422949","Medicare"
"2424423","Medicare"
"2425897","Medicare"
"2427371","Medicare"
"2428845","UnitedHealthcare"
"2430319","UnitedHealthcare"
"2431793","Blue Cross"
"2433267","Blue Cross"
"2434741","Cigna"
"2436215","UnitedHealthcare"
"2437689","Blue Cross"
"2439163","Blue Cross"
"2440637","Medicare"
"2442111","Aetna"
"2443585","Aetna"
"2445059","Blue Cross"
"2446533","Medicare"
"2448007","Medicare"
"2449481","Medicare"
"2450955","Aetna"
"2452429","Medicare"
"2453903","Aetna"
"2455377","Cigna"
"2456851","Medicare"
"2458325","Aetna"
"2459799","Medicare"
"2461273","Aetna"
"2462747","Blue Cross"
"2464221","UnitedHealthcare"
"2465695","Aetna"
"2467169","Medicare"
"2468643","Aetna"
"2470117","Medicare"
"2471591","Blue Cross"
"2473065","UnitedHealthcare"
"2474539","Cigna"
"2476013","UnitedHealthcare"
"2477487","UnitedHealthcare"
"2478961","Medicare"
"2480435","Blue Cross"
"2481909","Blue Cross"
"2483383","Cigna"
"2484857","Aetna"
"2486331","Cigna"
"2487805","Blue Cross"
"2489279","UnitedHealthcare"
"2490753","Aetna"
"2492227","Medicare"
"2493701","Cigna"
"2495175","Aetna"
"2496649","Cigna"
"2498123","Cigna"
"2499597","UnitedHealthcare"
"2501071","Cigna"
"2502545","Medicare"
"2504019","Cigna"
"2505493","Blue Cross"
"2506967","Cigna"
"2508441","Blue Cross"
"2509915","Medicare"
"2511389","Cigna"
"2512863","Cigna"
"2514337","Aetna"
"2515811","UnitedHealthcare"
"2517285","UnitedHealthcare"
"2518759","Blue Cross"
"2520233","Blue Cross"
"2521707","Cigna"
